Player,Team1,Pos,Salary,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Arbitration Eligible
Patrick Wisdom,CHC,3B,763000.00,32,97,268,43,55,8,1,23,46,4,2,30,111,1,1,2,0.205,0.289,0.5,0.789,0
Andrew Vaughn,CWS,1B,760000.00,25,152,566,67,146,30,2,21,80,0,0,36,129,0,2,11,0.258,0.314,0.429,0.743,0
Jonathan India,CIN,2B,760000.00,27,119,454,78,111,23,0,17,61,14,2,52,109,0,7,16,0.244,0.338,0.407,0.745,0
Cal Raleigh,SEA,C,758300.00,27,145,513,78,119,23,1,30,75,0,0,54,158,0,1,1,0.232,0.306,0.456,0.762,0
Jeremy Pena,HOU,SS,754900.00,26,150,577,81,152,32,3,10,52,13,9,43,129,1,1,9,0.263,0.324,0.381,0.705,0
Chas McCormick,HOU,OF,752500.00,28,115,403,59,110,17,2,22,70,19,6,40,117,1,2,11,0.273,0.353,0.489,0.842,0
Mark Mathias,SF,DH,750000.00,29,27,62,6,14,2,0,0,6,3,0,10,15,0,0,0,0.226,0.333,0.258,0.591,0
Pavin Smith,ARI,OF,750000.00,28,69,191,26,36,5,0,7,30,1,1,35,45,0,0,1,0.188,0.317,0.325,0.642,0
Sam Hilliard,ATL,OF,750000.00,30,40,72,15,17,5,0,3,6,4,0,6,33,0,0,0,0.236,0.295,0.431,0.726,0
Jazz Chisholm,MIA,OF,749500.00,26,97,352,50,88,12,2,19,51,22,3,26,118,1,2,2,0.25,0.304,0.457,0.761,0
Alec Bohm,PHI,3B,748000.00,27,145,558,74,153,31,0,20,97,4,1,42,94,0,6,5,0.274,0.327,0.437,0.764,0
Jonah Heim,TEX,C,745660.00,28,131,457,61,118,28,0,18,95,2,0,40,96,0,3,1,0.258,0.317,0.438,0.755,0
Oswaldo Cabrera,NYY,OF,742750.00,25,115,298,35,63,11,0,5,29,8,0,25,72,3,2,2,0.211,0.275,0.299,0.574,0
Dylan Carlson,STL,OF,742400.00,25,76,219,27,48,8,1,5,27,3,0,26,49,0,3,7,0.219,0.318,0.333,0.651,0
Ryan Jeffers,MIN,C,741650.00,26,96,286,46,79,15,2,14,43,3,2,33,93,4,2,10,0.276,0.369,0.49,0.859,0
Garrett Stubbs,PHI,C,741000.00,30,41,113,15,23,4,1,1,12,2,0,9,29,1,0,2,0.204,0.274,0.283,0.557,0
Edward Olivares,KC,OF,740750.00,28,107,354,47,93,23,4,12,36,11,5,22,64,0,2,7,0.263,0.317,0.452,0.769,0
Carlos Perez,OAK,C,740000.00,33,66,168,17,38,4,0,6,20,0,0,13,40,1,3,4,0.226,0.293,0.357,0.65,0
Jake Fraley,CIN,OF,740000.00,28,111,336,41,86,18,0,15,65,21,5,37,71,0,1,6,0.256,0.339,0.443,0.782,0
Matt Thaiss,LAA,C,740000.00,28,95,262,32,56,6,0,9,31,2,0,36,83,0,3,6,0.214,0.319,0.34,0.659,0
Geraldo Perdomo,ARI,SS,738600.00,24,144,407,71,100,20,4,6,47,16,4,64,86,14,4,6,0.246,0.353,0.359,0.712,0
Ryan Mountcastle,BAL,1B,738400.00,27,115,423,64,114,21,1,18,68,3,1,37,107,0,7,3,0.27,0.328,0.452,0.78,0
Bryan De La Cruz,MIA,OF,736000.00,27,153,579,60,149,32,0,19,78,4,1,40,142,0,5,1,0.257,0.304,0.411,0.715,0
Alex Kirilloff,MIN,1B,735650.00,26,88,281,35,76,14,1,11,41,1,0,28,80,0,3,7,0.27,0.348,0.445,0.793,0
Nick Gordon,MIN,OF,735400.00,28,34,91,13,16,5,1,2,7,0,0,1,11,1,0,0,0.176,0.185,0.319,0.504,0
Alek Thomas,ARI,OF,735200.00,23,125,374,51,86,17,5,9,39,9,1,19,86,2,3,4,0.23,0.273,0.374,0.647,0
Connor Joe,PIT,OF,735000.00,31,133,413,63,102,31,4,11,42,3,5,50,110,0,1,8,0.247,0.339,0.421,0.76,0
Gavin Sheets,CWS,OF,735000.00,27,118,311,24,63,10,0,10,43,1,0,28,66,0,4,1,0.203,0.267,0.331,0.598,0
Isaac Paredes,TB,3B,735000.00,25,143,492,71,123,24,0,31,98,1,0,58,104,0,1,20,0.25,0.352,0.488,0.84,0
Ramon Urias,BAL,3B,734700.00,29,116,360,45,95,22,3,4,42,3,1,27,101,0,1,8,0.264,0.328,0.375,0.703,0
Brandon Marsh,PHI,OF,734500.00,26,133,404,58,112,25,6,12,60,10,2,59,144,1,4,4,0.277,0.372,0.458,0.83,0
Bryson Stott,PHI,2B,734500.00,26,151,585,78,164,32,2,15,62,31,3,39,100,1,8,7,0.28,0.329,0.419,0.748,0
Adley Rutschman,BAL,C,733900.00,26,154,588,84,163,31,1,20,80,1,2,92,101,0,5,2,0.277,0.374,0.435,0.809,0
Trevor Larnach,MIN,OF,733650.00,27,58,183,26,39,7,3,8,40,1,1,27,72,0,2,0,0.213,0.311,0.415,0.726,0
Leody Taveras,TEX,OF,733445.00,25,143,511,67,136,31,3,14,67,14,4,35,117,3,4,1,0.266,0.312,0.421,0.733,0
Carter Kieboom,WAS,3B,733400.00,26,27,87,12,18,2,0,4,11,0,0,6,27,0,0,1,0.207,0.266,0.368,0.634,0
Andre Lipcius,DET,3B,733000.00,25,13,35,3,10,1,0,1,4,0,0,3,8,0,0,0,0.286,0.342,0.4,0.742,0
Triston Casas,BOS,1B,732500.00,24,132,429,66,113,21,2,24,65,0,0,70,126,0,2,1,0.263,0.367,0.49,0.857,0
Lars Nootbaar,STL,OF,732400.00,26,117,426,74,111,23,1,14,46,11,1,72,99,1,3,1,0.261,0.367,0.418,0.785,0
Jake Meyers,HOU,OF,732000.00,27,112,309,42,70,16,1,10,33,5,2,26,88,0,1,5,0.227,0.296,0.382,0.678,0
Seby Zavala,CWS,C,732000.00,30,73,175,17,30,4,0,7,18,1,0,12,70,2,2,2,0.171,0.23,0.314,0.545,0
Jose Siri,TB,OF,731600.00,28,101,338,58,75,13,2,25,56,12,3,20,130,1,3,2,0.222,0.267,0.494,0.761,0
Ben Rortvedt,NYY,C,730000.00,26,32,68,6,8,1,0,2,4,0,0,11,19,0,0,0,0.118,0.241,0.221,0.462,0
Logan O'Hoppe,LAA,C,730000.00,24,51,182,23,43,6,0,14,29,0,1,14,48,0,1,2,0.236,0.296,0.5,0.796,0
Nick Fortes,MIA,C,730000.00,27,108,294,33,60,10,0,6,26,4,2,17,59,3,2,7,0.204,0.263,0.299,0.562,0
Seth Brown,OAK,OF,730000.00,31,112,343,33,76,19,1,14,52,3,1,30,101,1,2,2,0.222,0.286,0.405,0.691,0
Jarred Kelenic,SEA,OF,729400.00,24,105,372,44,94,25,2,11,49,13,5,41,132,0,2,1,0.253,0.327,0.419,0.746,0
Riley Adams,WAS,C,728800.00,27,44,143,8,39,13,2,4,21,0,0,11,45,1,1,2,0.273,0.331,0.476,0.807,0
Brendan Donovan,STL,2B,728600.00,27,95,327,48,93,10,1,11,34,5,1,33,53,1,1,9,0.284,0.365,0.422,0.787,0
Jose Miranda,MIN,3B,727850.00,25,40,142,12,30,4,0,3,13,0,0,9,24,0,0,1,0.211,0.263,0.303,0.566,0
Riley Greene,DET,OF,727800.00,23,99,378,51,109,19,4,11,37,7,0,35,114,0,2,1,0.288,0.349,0.447,0.796,0
Taylor Walls,TB,SS,727600.00,27,99,303,50,61,12,2,8,36,22,1,44,92,1,0,1,0.201,0.305,0.333,0.638,0
Kyle Isbel,KC,OF,727500.00,27,91,292,45,70,22,2,5,34,7,1,17,59,1,2,1,0.24,0.282,0.38,0.662,0
Nick Pratto,KC,1B,727500.00,25,95,306,33,71,16,0,7,35,1,1,29,138,0,4,6,0.232,0.307,0.353,0.66,0
Steven Kwan,CLE,OF,727300.00,26,158,638,93,171,36,7,5,54,21,3,70,75,1,6,3,0.268,0.34,0.37,0.71,0
