Player,Team1,Pos,Salary,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Arbitration Eligible
Buddy Kennedy,ARI,3B,720000.00,25,10,24,1,4,1,0,0,1,0,0,4,6,0,0,1,0.167,0.31,0.208,0.518,0
Caleb Hamilton,BOS,C,720000.00,29,4,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0.167,0,0.167,0
Cam Eden,TOR,OF,720000.00,25,5,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,0
Carlos Perez,CWS,C,720000.00,27,27,49,5,10,4,0,1,3,0,0,4,11,0,0,0,0.204,0.264,0.347,0.611,0
Carson Kelly,ARI,C,720000.00,29,50,136,13,28,5,0,2,13,1,0,14,40,0,1,0,0.206,0.278,0.287,0.565,1
Casey Schmitt,SF,SS,720000.00,25,90,253,28,52,15,0,5,30,2,1,13,65,3,3,5,0.206,0.255,0.324,0.579,0
Christopher Morel,CHC,OF,720000.00,24,107,388,62,96,17,3,26,70,6,2,36,133,1,2,2,0.247,0.313,0.508,0.821,0
Dairon Blanco,KC,OF,720000.00,30,69,124,19,32,7,4,3,18,24,5,10,33,2,0,2,0.258,0.324,0.452,0.776,0
Darin Ruf,MIL,DH,720000.00,37,20,49,3,11,3,0,0,3,0,0,8,16,0,0,0,0.225,0.333,0.286,0.619,0
Emmanuel Rivera,ARI,3B,720000.00,27,86,257,32,67,13,0,4,29,1,0,22,56,0,4,0,0.261,0.314,0.358,0.672,0
Estevan Florial,NYY,OF,720000.00,26,19,61,5,14,3,1,0,8,3,0,7,20,0,1,2,0.23,0.324,0.311,0.635,0
Everson Pereira,NYY,OF,720000.00,22,27,93,6,14,4,0,0,10,4,0,8,40,0,0,2,0.151,0.233,0.194,0.427,0
Freddy Fermin,KC,C,720000.00,28,70,217,26,61,10,1,9,32,0,0,13,50,1,3,1,0.281,0.321,0.461,0.782,0
Henry Davis,PIT,OF,720000.00,24,62,225,27,48,10,0,7,24,3,5,25,69,0,1,4,0.213,0.302,0.351,0.653,0
Hunter Goodman,COL,OF,720000.00,24,23,70,6,14,4,3,1,17,1,0,5,24,0,2,0,0.2,0.247,0.386,0.633,0
Jake Bauers,NYY,1B,720000.00,28,84,242,28,49,15,0,12,30,3,2,27,95,0,3,0,0.202,0.279,0.413,0.692,0
Jake Burger,MIA,3B,720000.00,27,141,492,71,123,28,1,34,80,1,1,32,149,0,4,12,0.25,0.309,0.518,0.828,0
Jarren Duran,BOS,OF,720000.00,27,102,332,46,98,34,2,8,40,24,2,24,90,0,2,3,0.295,0.346,0.482,0.828,0
Jason Delay,PIT,C,720000.00,29,70,167,20,42,11,1,1,18,0,0,14,44,2,1,3,0.251,0.319,0.347,0.666,0
Jonathan Davis,MIA,OF,720000.00,31,34,90,22,22,4,1,2,10,1,2,7,29,2,2,2,0.244,0.307,0.378,0.685,0
Josh Donaldson,NYY,3B,720000.00,38,50,165,18,25,5,0,13,26,0,0,22,50,0,2,0,0.152,0.249,0.418,0.667,0
Joshua Palacios,PIT,OF,720000.00,28,91,247,26,59,9,2,10,40,5,0,12,56,2,1,2,0.239,0.279,0.413,0.692,0
Logan Porter,KC,C,720000.00,28,11,31,4,6,1,0,1,3,0,0,5,11,1,0,1,0.194,0.324,0.323,0.647,0
Maikel Garcia,KC,3B,720000.00,24,123,464,59,126,20,4,4,50,23,7,38,115,1,10,2,0.272,0.323,0.358,0.681,0
Miguel Amaya,CHC,C,720000.00,25,53,131,17,28,4,0,5,18,0,0,12,40,1,1,11,0.214,0.329,0.359,0.688,0
Mike Tauchman,CHC,OF,720000.00,33,108,337,64,85,18,0,8,48,7,1,56,86,1,3,4,0.252,0.363,0.377,0.74,0
Nelson Velazquez,KC,OF,720000.00,25,53,162,35,38,6,0,17,34,0,0,14,51,0,1,2,0.235,0.302,0.586,0.888,0
Nick Gonzales,PIT,2B,720000.00,24,35,115,12,24,8,1,2,13,0,1,6,36,1,2,4,0.209,0.268,0.348,0.616,0
Nick Loftin,KC,1B,720000.00,25,19,62,10,20,5,1,0,10,2,0,4,12,0,1,1,0.323,0.368,0.435,0.803,0
Nolan Jones,COL,OF,720000.00,25,106,367,60,109,22,4,20,62,20,4,53,126,0,1,3,0.297,0.389,0.542,0.931,0
Oneil Cruz,PIT,SS,720000.00,25,9,32,7,8,1,0,1,4,3,0,7,8,0,1,0,0.25,0.375,0.375,0.75,0
Oswald Peraza,NYY,3B,720000.00,23,52,173,15,33,8,0,2,14,4,3,13,50,0,0,5,0.191,0.267,0.272,0.539,0
Pete Crow-Armstrong,CHC,OF,720000.00,21,13,14,3,0,0,0,0,1,2,2,3,7,2,0,0,0,0.176,0,0.176,0
Sal Frelick,MIL,OF,720000.00,23,57,191,29,47,9,1,3,24,7,0,28,37,0,3,1,0.246,0.341,0.351,0.692,0
Tucupita Marcano,PIT,OF,720000.00,24,75,202,16,47,12,2,3,18,5,2,10,35,3,2,3,0.233,0.276,0.356,0.632,0
Bryce Johnson,SF,OF,700000.00,28,30,43,7,7,1,0,1,3,3,0,4,15,0,1,0,0.163,0.229,0.256,0.485,0
Cal Stevenson,SF,OF,700000.00,27,6,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0.25,0,0.25,0
Canaan Smith-Njigba,PIT,OF,700000.00,24,15,32,3,4,1,1,0,5,1,0,4,16,0,1,0,0.125,0.216,0.219,0.435,0
Andy Ibanez,DET,2B,600000.00,30,114,356,42,94,23,2,11,41,1,0,24,69,1,1,1,0.264,0.312,0.433,0.745,0
Ben Gamel,SD,OF,507000.00,31,6,15,2,3,1,0,0,2,0,0,0,2,0,0,0,0.2,0.2,0.267,0.467,0
Brian Serven,COL,C,200000.00,28,11,23,0,3,1,0,0,1,0,0,0,10,0,0,0,0.13,0.13,0.174,0.304,0
Coco Montes,COL,2B,770000.00,27,18,38,3,7,2,0,1,3,0,0,2,12,0,0,1,0.184,0.244,0.316,0.56,0
Colton Cowser,BAL,OF,770000.00,24,26,61,15,7,2,0,0,4,1,0,13,22,0,1,2,0.115,0.286,0.148,0.434,0
Conner Capel,OAK,OF,770000.00,26,32,73,6,19,5,0,0,3,5,3,12,25,0,0,1,0.26,0.372,0.329,0.701,0
Corey Dickerson,WAS,OF,770000.00,34,50,144,12,36,7,1,2,17,0,1,7,28,0,1,0,0.25,0.283,0.354,0.637,0
Cristian Pache,PHI,OF,770000.00,25,48,84,12,20,7,1,2,11,2,3,10,27,1,0,0,0.238,0.319,0.417,0.736,0
Curtis Mead,TB,3B,770000.00,23,24,83,12,21,3,1,1,5,0,0,7,21,0,0,2,0.253,0.326,0.349,0.675,0
DJ Stewart,NYM,OF,770000.00,30,58,160,21,39,9,0,11,26,1,1,15,56,1,1,7,0.244,0.333,0.506,0.839,0
Dominic Canzone,SEA,OF,770000.00,26,59,173,23,38,13,0,6,21,1,0,8,32,0,0,1,0.22,0.258,0.399,0.657,0
Elly De La Cruz,CIN,SS,770000.00,22,98,388,67,91,15,7,13,44,35,8,35,144,1,1,2,0.235,0.3,0.41,0.71,0
Enmanuel Valdez,BOS,2B,770000.00,25,49,139,17,37,8,0,6,19,5,1,8,37,0,0,1,0.266,0.311,0.453,0.764,0
Eric Haase,DET,C,770000.00,31,89,374,22,55,8,1,4,26,4,1,17,81,1,1,0,0.201,0.247,0.281,0.528,0
Esteury Ruiz,OAK,OF,770000.00,25,132,449,47,114,24,1,5,47,67,13,20,99,4,1,16,0.254,0.309,0.345,0.654,0
Fernando Tatis,SD,OF,770000.00,25,141,575,91,148,33,1,25,78,29,4,53,141,1,3,3,0.257,0.322,0.449,0.771,0
Francisco Alvarez,NYM,C,770000.00,22,123,382,51,80,12,0,25,63,2,0,34,110,0,1,6,0.209,0.284,0.437,0.721,0
Gio Urshela,LAA,3B,770000.00,32,62,214,22,64,8,1,2,24,3,2,10,36,0,3,1,0.299,0.329,0.374,0.703,0
Heliot Ramos,SF,OF,770000.00,24,25,56,5,10,4,0,1,2,0,0,4,20,0,0,0,0.179,0.233,0.304,0.537,0
Ivan Herrera,STL,C,770000.00,23,13,37,6,11,2,0,0,4,0,0,5,11,0,0,2,0.297,0.409,0.351,0.76,0
J.P. Martinez,TEX,OF,770000.00,27,17,40,7,9,1,0,1,4,0,0,2,16,0,2,0,0.225,0.25,0.325,0.575,0
Jackie Bradley,KC,OF,770000.00,33,43,105,10,14,5,0,1,6,0,0,5,29,1,0,2,0.133,0.188,0.21,0.398,0
Jake Alu,WAS,2B,770000.00,26,51,159,14,36,2,1,2,16,5,1,10,42,1,2,3,0.226,0.282,0.289,0.571,0
Jasson Dominguez,NYY,OF,770000.00,21,8,31,6,8,1,0,4,7,1,0,2,8,0,0,0,0.258,0.303,0.677,0.98,0
Jesus Aguilar,OAK,1B,770000.00,33,36,104,8,23,2,0,5,9,0,0,8,31,0,1,1,0.221,0.281,0.385,0.666,0
Jonathan Aranda,TB,DH,770000.00,25,34,87,13,20,4,1,2,13,0,0,13,31,0,1,2,0.23,0.34,0.368,0.708,0
Jose Barrero,CIN,OF,770000.00,25,46,133,15,29,8,0,2,17,3,2,15,44,0,1,0,0.218,0.295,0.323,0.618,0
Jose Fermin,STL,2B,770000.00,24,21,51,2,12,1,0,0,4,0,1,6,8,2,0,2,0.235,0.339,0.255,0.594,0
Jose Herrera,ARI,C,770000.00,27,43,101,15,21,5,0,0,7,1,0,13,30,5,1,0,0.208,0.296,0.257,0.553,0
Juan Yepez,STL,OF,770000.00,26,28,60,5,11,1,0,2,2,0,1,4,20,0,0,1,0.183,0.246,0.3,0.546,0
Junior Caminero,TB,3B,770000.00,20,7,34,4,8,1,0,1,7,0,0,2,8,0,0,0,0.235,0.278,0.353,0.631,0
Kevin Padlo,LAA,3B,770000.00,27,3,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,0
Kolten Wong,SEA,2B,770000.00,33,87,224,25,41,6,0,4,27,3,2,18,53,0,3,4,0.183,0.256,0.263,0.519,0
Korey Lee,CWS,C,770000.00,25,24,65,4,5,1,0,1,3,0,0,5,20,0,0,0,0.077,0.143,0.138,0.281,0
Lawrence Butler,OAK,OF,770000.00,23,42,123,10,26,4,0,4,10,0,0,4,35,0,1,1,0.211,0.24,0.341,0.581,0
Lenyn Sosa,CWS,2B,770000.00,24,52,164,12,33,6,0,6,14,0,1,5,40,3,1,0,0.201,0.224,0.348,0.572,0
Luis Matos,SF,OF,770000.00,22,76,228,24,57,13,1,2,14,3,0,20,33,2,0,3,0.25,0.319,0.342,0.661,0
Luke Williams,LAD,SS,770000.00,27,11,19,1,1,0,0,0,0,4,0,0,7,0,0,0,0.053,0.053,0.053,0.105,0
Mark Vientos,NYM,DH,770000.00,24,65,218,19,46,5,1,9,22,1,0,10,71,0,2,3,0.211,0.253,0.367,0.62,0
Masyn Winn,STL,SS,770000.00,21,37,122,8,21,2,0,2,12,2,1,10,26,2,3,0,0.172,0.23,0.238,0.468,0
Matt Mervis,CHC,1B,770000.00,25,27,90,8,15,2,0,3,11,0,0,8,32,0,0,1,0.167,0.242,0.289,0.531,0
Matt Wallner,MIN,OF,770000.00,26,76,213,42,53,11,1,14,41,2,1,28,80,0,0,13,0.249,0.37,0.507,0.877,0
Matthew Batten,SD,3B,770000.00,28,43,120,19,31,6,0,2,11,2,2,17,30,1,0,1,0.258,0.355,0.358,0.713,0
Michael Toglia,COL,OF,770000.00,25,45,141,18,23,5,0,4,9,1,1,10,50,0,0,1,0.163,0.224,0.284,0.508,0
Mickey Moniak,LAA,OF,770000.00,25,85,311,35,87,21,2,14,45,6,3,9,113,0,0,3,0.28,0.307,0.495,0.802,0
Miguel Vargas,LAD,2B,770000.00,24,81,256,36,50,15,4,7,32,3,2,38,61,1,4,4,0.195,0.305,0.367,0.672,0
Mike Moustakas,LAA,3B,770000.00,35,112,352,43,87,15,0,12,48,0,0,23,95,0,8,3,0.247,0.293,0.392,0.685,0
Mike Zunino,CLE,C,770000.00,32,42,124,11,22,7,0,3,11,0,0,15,61,0,0,1,0.177,0.271,0.306,0.577,0
Nelson Cruz,SD,DH,770000.00,43,49,143,9,35,5,1,5,23,1,0,6,46,0,1,2,0.245,0.283,0.399,0.682,0
Noelvi Marte,CIN,3B,770000.00,22,35,114,15,36,7,0,3,15,6,2,8,25,0,0,1,0.316,0.366,0.456,0.822,0
Parker Meadows,DET,OF,770000.00,24,37,125,19,29,4,2,3,13,8,1,17,37,0,1,2,0.232,0.331,0.368,0.699,0
Ryan Kreidler,DET,SS,770000.00,26,11,18,2,2,0,0,0,0,0,0,0,7,0,0,0,0.111,0.111,0.111,0.222,0
Samad Taylor,KC,2B,770000.00,25,31,60,11,12,2,1,0,4,8,0,7,22,1,1,0,0.2,0.279,0.267,0.546,0
Shea Langeliers,OAK,C,770000.00,26,135,448,52,92,19,4,22,63,3,2,34,143,1,2,5,0.205,0.268,0.413,0.681,0
Spencer Steer,CIN,3B,770000.00,26,156,582,74,158,37,3,23,86,15,3,68,139,0,4,11,0.271,0.356,0.464,0.82,0
TJ Friedl,CIN,OF,770000.00,28,138,488,73,136,22,8,18,66,27,6,47,90,8,3,10,0.279,0.352,0.467,0.819,0
TJ Hopkins,CIN,OF,770000.00,27,25,41,7,7,0,0,0,1,1,0,2,17,0,0,1,0.171,0.227,0.171,0.398,0
Trey Cabbage,LAA,OF,770000.00,26,22,53,5,11,3,0,1,7,1,1,2,26,0,1,0,0.208,0.232,0.321,0.553,0
Trey Mancini,CHC,1B,770000.00,32,79,235,31,55,12,0,4,28,0,0,21,78,0,3,2,0.234,0.299,0.336,0.635,0
Tucker Barnhart,CHC,C,770000.00,33,47,109,6,22,3,0,1,9,1,0,12,42,0,1,1,0.202,0.285,0.257,0.542,0
Tyler Freeman,CLE,3B,770000.00,24,64,153,20,37,7,0,4,18,5,0,10,30,2,1,2,0.242,0.295,0.366,0.661,0
Tyler O'Neill,STL,OF,770000.00,28,72,238,27,55,14,0,9,21,5,0,28,67,0,0,0,0.231,0.312,0.403,0.715,1
Tyler Soderstrom,OAK,DH,770000.00,22,45,125,9,20,1,0,3,7,0,0,11,43,0,1,1,0.16,0.232,0.24,0.472,0
Vladimir Guerrero,TOR,1B,770000.00,25,156,602,78,159,30,0,26,94,5,3,67,100,0,4,9,0.264,0.345,0.444,0.789,0
Will Benson,CIN,OF,770000.00,25,108,287,51,79,15,8,11,31,19,3,40,103,0,1,1,0.275,0.365,0.498,0.863,0
Will Brennan,CLE,OF,770000.00,26,138,432,41,115,24,0,5,41,13,5,16,57,0,2,5,0.266,0.299,0.356,0.655,0
Wilmer Flores,SF,1B,770000.00,32,126,405,51,115,22,0,23,60,0,0,41,63,0,3,5,0.284,0.355,0.509,0.864,0
Wilyer Abreu,BOS,OF,770000.00,24,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0.316,0.388,0.474,0.862,0
Xavier Edwards,MIA,2B,770000.00,24,30,78,12,23,3,0,0,3,5,0,3,14,2,0,1,0.295,0.329,0.333,0.662,0
Yainer Diaz,HOU,C,770000.00,25,104,355,51,100,22,0,23,60,0,0,11,74,0,6,5,0.282,0.308,0.538,0.846,0
Yasmani Grandal,CWS,C,770000.00,35,118,363,33,85,14,0,8,33,0,0,36,86,0,2,4,0.234,0.309,0.339,0.648,0
Yordan Alvarez,HOU,OF,770000.00,26,114,410,77,120,24,1,31,97,0,0,69,92,0,4,13,0.293,0.407,0.583,0.99,0
Zach Neto,LAA,SS,770000.00,23,84,289,38,65,17,0,9,34,5,1,20,77,1,3,16,0.225,0.308,0.377,0.685,0
Zack Gelof,OAK,2B,770000.00,24,69,270,40,72,20,1,14,32,14,2,26,82,0,1,3,0.267,0.337,0.504,0.841,0
Chandler Seagle,SD,C,740000.00,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Arroyo,BOS,2B,740000.00,28,66,195,23,47,16,0,3,24,1,3,7,45,1,2,1,0.241,0.268,0.369,0.637,0
David Fry,CLE,C,740000.00,28,58,101,12,24,6,0,4,15,2,0,8,30,0,0,4,0.238,0.319,0.416,0.735,0
David Hensley,HOU,DH,740000.00,27,30,84,12,10,1,0,1,3,1,0,10,35,0,0,0,0.119,0.213,0.167,0.38,0
DJ LeMahieu,NYY,3B,740000.00,35,136,497,55,121,22,3,15,44,2,2,60,125,0,2,3,0.243,0.327,0.39,0.717,0
Drew Millas,WAS,C,740000.00,26,11,28,1,8,2,0,1,6,0,0,4,5,1,0,0,0.286,0.375,0.464,0.839,0
Edouard Julien,MIN,2B,740000.00,24,109,338,60,89,16,1,16,37,3,0,64,128,1,3,2,0.263,0.381,0.459,0.84,0
Ernie Clement,TOR,SS,740000.00,27,30,50,7,19,1,1,1,10,1,0,1,4,0,1,0,0.38,0.385,0.5,0.885,0
Evan Carter,TEX,OF,740000.00,21,23,62,15,19,4,1,5,12,3,0,12,24,0,1,0,0.306,0.413,0.645,1.058,0
Francisco Mejia,TB,C,740000.00,28,50,150,22,34,11,0,5,19,0,1,6,38,1,2,1,0.227,0.258,0.4,0.658,0
Garrett Hampson,MIA,SS,740000.00,29,98,221,30,61,12,1,3,23,5,0,23,67,3,2,3,0.276,0.349,0.38,0.729,0
Hunter Renfroe,CIN,OF,740000.00,32,140,498,60,116,31,0,20,60,0,0,44,125,0,3,3,0.233,0.297,0.416,0.713,0
Isan Diaz,SF,2B,740000.00,27,8,24,0,1,0,0,0,1,0,0,2,9,0,0,0,0.042,0.115,0.042,0.157,0
Jacob Young,WAS,OF,740000.00,24,33,107,9,27,7,1,0,12,13,0,10,22,3,0,1,0.252,0.322,0.336,0.658,0
Jake McCarthy,ARI,OF,740000.00,26,99,276,37,67,7,5,2,16,26,4,26,62,4,1,5,0.243,0.318,0.326,0.644,0
Jason Heyward,LAD,OF,740000.00,34,124,334,56,90,23,0,15,40,2,2,34,64,0,3,3,0.269,0.34,0.473,0.813,0
JJ Bleday,OAK,OF,740000.00,26,82,256,35,50,11,0,10,27,5,1,42,72,0,3,2,0.195,0.31,0.355,0.665,0
Jo Adell,LAA,OF,740000.00,24,17,58,7,12,3,1,3,6,1,0,4,25,0,0,0,0.207,0.258,0.448,0.706,0
Joey Bart,SF,C,740000.00,27,30,87,9,18,5,0,0,5,0,0,3,23,0,1,4,0.207,0.263,0.264,0.527,0
Joey Ortiz,BAL,2B,740000.00,25,15,33,4,7,1,0,0,4,0,0,0,9,0,1,0,0.212,0.206,0.242,0.448,0
Jonathan Arauz,NYM,2B,740000.00,25,27,59,3,8,0,0,3,9,0,0,5,18,2,0,0,0.136,0.203,0.288,0.491,0
Jonathan Schoop,DET,2B,740000.00,32,55,136,15,29,8,0,0,7,0,0,13,37,0,2,0,0.213,0.278,0.272,0.55,0
Jordan Walker,STL,OF,740000.00,21,117,420,51,116,19,2,16,51,7,4,37,104,0,2,6,0.276,0.342,0.445,0.787,0
Jordan Westburg,BAL,2B,740000.00,25,68,208,26,54,17,2,3,23,4,1,16,56,0,3,1,0.26,0.311,0.404,0.715,0
Jordyn Adams,LAA,OF,740000.00,24,17,39,1,5,0,0,0,1,1,2,0,16,0,1,0,0.128,0.125,0.128,0.253,0
Jose Caballero,SEA,2B,740000.00,27,104,231,37,51,9,1,4,26,26,3,28,66,0,4,17,0.221,0.343,0.32,0.663,0
Jose Ramirez,CLE,3B,740000.00,31,156,611,87,172,36,5,24,80,28,6,73,73,0,6,1,0.282,0.356,0.475,0.831,0
Josh Harrison,PHI,2B,740000.00,36,41,103,8,21,3,0,2,10,0,0,3,20,0,2,6,0.204,0.263,0.291,0.554,0
Josh Smith,TEX,SS,740000.00,26,90,195,29,36,8,1,6,15,1,0,25,55,2,1,9,0.185,0.304,0.328,0.632,0
Jurickson Profar,SD,OF,740000.00,31,125,459,55,111,27,2,9,46,1,0,50,90,0,5,6,0.242,0.321,0.368,0.689,0
Kevin Smith,OAK,SS,740000.00,27,49,135,15,25,4,0,5,11,1,0,5,51,5,0,1,0.185,0.22,0.326,0.546,0
Kody Clemens,PHI,3B,740000.00,27,49,139,15,32,7,0,4,13,0,0,8,40,0,0,1,0.23,0.277,0.367,0.644,0
Kole Calhoun,CLE,OF,740000.00,36,43,157,18,34,7,0,6,25,0,1,13,37,0,2,2,0.217,0.282,0.376,0.658,0
Kyle Stowers,BAL,OF,740000.00,26,14,30,1,2,0,0,0,0,0,0,3,12,0,0,0,0.067,0.152,0.067,0.219,0
LaMonte Wade,SF,OF,740000.00,30,135,429,64,110,14,2,17,45,2,0,76,95,4,4,6,0.256,0.373,0.417,0.79,0
Lourdes Gurriel,ARI,OF,740000.00,30,145,551,65,144,35,2,24,82,5,0,33,103,0,2,6,0.261,0.309,0.463,0.772,0
Luis Torrens,SEA,C,740000.00,27,19,28,1,7,3,0,0,4,0,0,1,9,0,0,1,0.25,0.3,0.357,0.657,0
Matt McLain,CIN,2B,740000.00,24,89,365,65,106,23,4,16,50,14,5,31,115,0,0,7,0.29,0.357,0.507,0.864,0
Meibrys Viloria,CLE,C,740000.00,27,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25,0
Mike Ford,SEA,DH,740000.00,31,84,219,32,50,6,0,16,34,0,0,24,81,0,1,7,0.228,0.323,0.475,0.798,0
Nate Eaton,KC,OF,740000.00,27,28,53,2,4,0,0,0,1,3,0,2,21,0,0,1,0.075,0.125,0.075,0.2,0
Nick Allen,OAK,SS,740000.00,25,106,303,29,67,4,2,4,20,5,1,17,52,6,2,1,0.221,0.263,0.287,0.55,0
Nick Maton,DET,3B,740000.00,27,93,249,29,43,9,0,8,32,1,2,38,73,1,2,3,0.173,0.288,0.305,0.593,0
Osleivis Basabe,TB,SS,740000.00,23,31,87,15,19,5,0,1,12,0,1,6,25,0,0,1,0.218,0.277,0.31,0.587,0
Pablo Reyes,BOS,SS,740000.00,30,64,167,27,48,9,0,2,20,7,2,14,21,2,2,0,0.287,0.339,0.377,0.716,0
Patrick Bailey,SF,C,740000.00,24,97,326,29,76,18,1,7,48,1,0,21,100,2,1,3,0.233,0.285,0.359,0.644,0
Peyton Burdick,MIA,OF,740000.00,27,14,33,4,6,2,0,1,2,1,0,3,18,0,0,1,0.182,0.27,0.333,0.603,0
Rafael Ortega,NYM,OF,740000.00,32,47,114,16,25,3,0,1,8,6,1,20,33,1,0,1,0.219,0.341,0.272,0.613,0
Rodolfo Castro,PIT,2B,740000.00,24,92,227,21,48,7,0,6,24,1,4,23,74,0,1,5,0.212,0.297,0.322,0.619,0
Ronald Acuna,ATL,OF,740000.00,26,159,643,149,217,35,4,41,106,73,14,80,84,0,3,9,0.337,0.416,0.596,1.012,0
Sam Huff,TEX,C,740000.00,26,21,43,5,11,2,0,3,6,0,0,2,17,0,0,0,0.256,0.289,0.512,0.801,0
Spencer Horwitz,TOR,1B,740000.00,26,15,39,5,10,2,0,1,7,0,0,4,12,0,0,1,0.256,0.341,0.385,0.726,0
Stone Garrett,WAS,OF,740000.00,28,89,234,40,63,17,0,9,40,3,1,26,82,0,5,3,0.269,0.343,0.457,0.8,0
Taylor Trammell,SEA,OF,740000.00,26,22,46,7,6,0,0,3,11,0,1,9,22,0,0,1,0.13,0.286,0.326,0.612,0
Travis Blankenhorn,WAS,3B,740000.00,27,10,31,2,5,0,0,1,1,0,0,6,6,0,0,0,0.161,0.297,0.258,0.555,0
Tristan Gray,TB,1B,740000.00,27,2,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0.4,0.4,1,1.4,0
Tyrone Taylor,MIL,OF,740000.00,30,81,231,36,54,17,1,10,35,9,0,8,55,0,1,3,0.234,0.267,0.446,0.713,0
Victor Robles,WAS,OF,740000.00,26,36,107,15,32,5,1,0,8,8,1,11,18,4,0,4,0.299,0.385,0.364,0.749,1
Vidal Brujan,TB,2B,740000.00,26,37,76,14,13,2,0,0,6,3,2,5,21,1,0,2,0.171,0.241,0.197,0.438,0
Vinnie Pasquantino,KC,1B,740000.00,26,61,231,24,57,17,0,9,26,0,0,25,31,0,1,2,0.247,0.324,0.437,0.761,0
Vinny Capra,PIT,3B,740000.00,27,9,18,3,3,1,0,0,1,0,0,2,5,1,0,0,0.167,0.25,0.222,0.472,0
Wil Myers,CIN,OF,740000.00,33,37,127,11,24,3,0,3,12,2,1,12,48,1,1,0,0.189,0.257,0.283,0.54,0
Willi Castro,MIN,OF,740000.00,26,124,358,60,92,18,5,9,34,33,5,34,99,2,3,12,0.257,0.339,0.411,0.75,0
William Contreras,MIL,C,740000.00,26,141,540,86,156,38,1,17,78,6,1,63,126,1,2,5,0.289,0.367,0.457,0.824,0
Willson Contreras,STL,C,740000.00,31,125,428,55,113,27,0,20,67,6,3,51,111,1,2,13,0.264,0.358,0.467,0.825,0
Yandy Diaz,TB,1B,740000.00,32,137,525,95,173,35,0,22,78,0,1,65,94,0,2,8,0.33,0.41,0.522,0.932,0
Yonny Hernandez,LAD,3B,740000.00,25,14,22,5,3,1,0,0,4,0,0,2,8,1,1,1,0.136,0.231,0.182,0.413,0
Yu Chang,BOS,3B,740000.00,28,39,105,12,17,2,0,6,18,4,0,3,34,2,0,2,0.162,0.2,0.352,0.552,0
Yuli Gurriel,MIA,1B,740000.00,39,108,298,32,73,16,3,4,27,4,0,26,44,0,4,1,0.245,0.304,0.359,0.663,0
Zach McKinstry,DET,2B,740000.00,28,148,464,60,107,21,4,9,35,16,6,44,113,2,3,5,0.231,0.302,0.351,0.653,0
Zach Remillard,CWS,2B,740000.00,30,54,147,16,37,7,0,1,18,4,3,8,48,4,0,1,0.252,0.295,0.32,0.615,0
Zack Short,DET,2B,740000.00,28,112,221,17,45,9,0,7,33,5,0,28,66,3,1,0,0.204,0.292,0.339,0.631,0
Chad Wallach,LAA,C,720000.00,32,65,157,18,31,5,1,7,15,0,1,13,57,2,0,0,0.197,0.259,0.376,0.635,0
Christian Encarnacion-Strand,CIN,1B,720000.00,24,63,222,29,60,7,0,13,37,2,0,14,69,0,0,5,0.27,0.328,0.477,0.805,0
Cole Tucker,COL,OF,720000.00,27,5,8,2,4,0,0,0,2,0,0,1,2,0,0,1,0.5,0.6,0.5,1.1,0
Connor Kaiser,COL,SS,720000.00,27,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Corey Julks,HOU,OF,720000.00,28,93,298,35,73,14,0,6,33,15,3,22,75,0,2,1,0.245,0.297,0.352,0.649,0
Daniel Vogelbach,NYM,DH,720000.00,31,104,275,33,64,8,0,13,48,0,0,42,81,0,0,2,0.233,0.339,0.404,0.743,0
David Hamilton,BOS,SS,720000.00,26,15,33,2,4,2,0,0,0,2,1,6,10,0,0,0,0.121,0.256,0.182,0.438,0
David Villar,SF,2B,720000.00,27,46,124,15,18,6,0,5,12,1,1,11,45,0,1,4,0.145,0.236,0.315,0.551,0
Davis Schneider,TOR,2B,720000.00,25,35,116,23,32,12,1,8,20,1,0,21,43,0,0,4,0.276,0.404,0.603,1.007,0
Diego Castillo,ARI,OF,720000.00,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Fletcher,ARI,OF,720000.00,26,28,93,10,28,5,1,2,14,0,2,7,22,2,0,0,0.301,0.35,0.441,0.791,0
Endy Rodriguez,PIT,C,720000.00,23,57,186,27,41,7,2,3,13,0,0,17,49,0,1,0,0.22,0.284,0.328,0.612,0
Gary Sanchez,SD,C,720000.00,31,75,240,33,52,9,0,19,47,0,0,21,67,0,2,4,0.217,0.288,0.492,0.78,0
Grae Kessinger,HOU,SS,720000.00,26,26,40,3,8,2,0,1,1,0,1,5,12,0,0,0,0.2,0.289,0.325,0.614,0
